folder,fold,top_left_long,top_left_lat,bottom_right_long,bottom_right_lat,activation_date,downloaded_date
EMSR216_01LOSCOLLADOS_02GRADING_MAP_v1_vector,magenta,-2.372395304,38.47471127,-2.314204884,38.42563238,27/07/2017,2017-08-04
EMSR372_AOI04_GRA_PRODUCT_r1_RTP01_v3_vector,coral,-8.192177748999999,39.79643308,-7.9482176939999984,39.60959586,20/07/2019,2019-07-24
EMSR298_05STRANDASMYRVALLEN_02GRADING_MAP_v1_vector,grey,14.23643293,61.89877426,14.56947213,61.75038554,16/07/2018,2018-07-27
EMSR371_AOI01_GRA_PRODUCT_r1_RTP01_v2_vector,purple,9.6444673,39.9211097,9.6875316,39.8569824,13/07/2019,2019-07-18
EMSR248_04HOYOSDEMIGUELMUNOZ_02GRADING_MAP_v1_vector,cyan,-5.0959133969999995,40.40137718,-5.017491612,40.35235357,29/07/2017,2017-08-20
EMSR216_04RALA_02GRADING_MAP_v1_vector,magenta,-2.314236645,38.42563238,-2.256299384,38.37674198,27/07/2017,2017-08-04
EMSR209_03LOSCABEZUDOS_02GRADING_MAP_v1_vector,pink,-6.702457891,37.26171707,-6.557290347,37.13647357,24/06/2017,2017-07-01
EMSR237_04ELCASTILLODELASGUARDAS_02GRADING_MAP_v1_vector,pink,-6.412924492999999,37.72707995,-6.273546204,37.63639664,09/09/2017,2017-09-19
EMSR207_02LOUSA_02GRADING_MAP_v2_vector,coral,-8.307374029,40.14671598,-8.115624439,40.02611667,17/06/2017,2017-07-04
EMSR239_05ALMADENDELAPLATAOVERVIEW_02GRADING_MAP_v1_vector,pink,-6.0777778,37.8675,-5.9225,37.779444399999996,09/09/2017,2017-09-19
EMSR227_03SANTAEULALIADECABRERA_02GRADING_MAP_v2_vector,cyan,-6.67322369,42.25628271,-6.546389355,42.17750925,22/08/2017,2017-08-23
EMSR211_02SONEJA_02GRADING_MAP_v1_vector,magenta,-0.484945325,39.82163003,-0.420995447,39.78142267,28/06/2017,2017-07-05
EMSR207_03PAMPILHOSADASERRA_02GRADING_MAP_v2_vector,coral,-8.115624439,40.14671181,-7.923545282999999,40.02612184,17/06/2017,2017-07-04
EMSR214_01OLMETA_02GRADING_MAP_v2_vector,purple,9.283298421,42.649977899999996,9.482912696,42.52938381,24/07/2017,2017-08-02
EMSR221_01OGLIASTRO_02GRADING_MAP_v2_vector,purple,9.300647504,42.88660818,9.50518314,42.76350859,11/08/2017,2017-08-15
EMSR207_01MIRANDADOCORVO_02GRADING_MAP_v2_vector,coral,-8.499468069,40.14671598,-8.307374029,40.02611667,17/06/2017,2017-07-04
EMSR209_05MAZAGONDETAIL01_02GRADING_MAP_v1_vector,pink,-6.818069014,37.13975126,-6.779669761,37.11462829,24/06/2017,2017-07-01
EMSR214_02LABASTIDONNE_02GRADING_MAP_v1_vector,purple,5.474543797000001,43.76187358,5.933204431,43.48503235,24/07/2017,2017-08-18
EMSR365_AOI01_GRA_PRODUCT_r1_RTP01_v1_vector,magenta,0.412424949,41.45415267,0.7708548059999999,41.16583634,26/06/2019,2019-06-30
EMSR217_01DUKAT_02GRADING_MAP_v2_vector,grey,19.48723898,40.28455975,19.63562874,40.19160646,03/08/2017,2017-08-20
EMSR213_11NASO_02GRADING_MAP_v1_vector,lime,14.68067401,38.20378867,15.01883319,37.98540825,11/07/2017,2017-08-06
EMSR213_12ETNANORD_02GRADING_MAP_v1_vector,lime,15.01038592,37.9606511,15.31906741,37.760668100000004,11/07/2017,2017-07-14
EMSR209_02MAZAGON_02GRADING_MAP_v2_vector,pink,-6.847411712,37.16676760000001,-6.702476948999999,37.04156643,24/06/2017,2017-07-01
EMSR213_06MONREALE_02GRADING_MAP_v2_vector,lime,13.17317904,38.16835343,13.44538996,37.99252547,11/07/2017,2017-07-20
EMSR217_02VRANISHT_02GRADING_MAP_v1_vector,grey,19.63948174,40.26356162,19.74820677,40.19482208,03/08/2017,2017-08-20
EMSR210_04TRASLASIERRA_02GRADING_MAP_v2_vector,pink,-6.720018396,37.73713811,-6.6525929370000005,37.68627622,03/07/2017,2017-07-11
EMSR227_02CORPORALES_02GRADING_MAP_v2_vector,cyan,-6.546389355,42.32987935,-6.419262327,42.25097309,22/08/2017,2017-09-02
EMSR214_06COGOLIN_02GRADING_MAP_v2_vector,purple,6.441886973,43.34667718,6.71673398,43.12627956,24/07/2017,2017-07-29
EMSR226_01DABA_02GRADING_MAP_v1_vector,grey,43.41219991,41.84788029999999,43.49026098,41.80014572,20/08/2017,2017-08-23
EMSR217_03SLLATINE_02GRADING_MAP_v2_vector,grey,20.41268196,41.82104325,20.48273515,41.78038793,03/08/2017,2017-08-20
EMSR213_03FRANCOFONTE_02GRADING_MAP_v1_vector,lime,14.82707554,37.27926254,15.211276500000002,37.02798466,11/07/2017,2017-07-14
EMSR217_04DAJTI_02GRADING_MAP_v1_vector,grey,19.860795,41.39465956,19.89835384,41.37120478,03/08/2017,2017-08-20
EMSR207_05PEDROGAOGRANDE_02GRADING_MAP_v2_vector,coral,-8.307520732,40.02612184,-8.115624439,39.90413168,17/06/2017,2017-07-04
EMSR213_04AVOLA_02GRADING_MAP_v1_vector,lime,14.97593151,37.02298662,15.20577233,36.87225579,11/07/2017,2017-07-14
EMSR210_03ELCAMPILLO_02GRADING_MAP_v1_vector,pink,-6.654156884,37.73584341,-6.593865259,37.68509354,03/07/2017,2017-07-11
EMSR227_04TRUCHILLAS_02GRADING_MAP_v2_vector,cyan,-6.549338406,42.25369489,-6.4223720570000005,42.17479466,22/08/2017,2017-08-23
EMSR302_01NERVA_02GRADING_MAP_v1_vector,pink,-6.673627731,37.80933297,-6.4606939039999975,37.6711561,02/08/2018,2018-08-05
EMSR207_06MADEIRA_02GRADING_MAP_v2_vector,coral,-8.117489266,40.02612184,-7.923545282,39.90413168,17/06/2017,2017-07-04
EMSR302_06NERVADETAIL_02GRADING_MAP_v1_vector,pink,-6.603647894,37.73333762,-6.530111345,37.68559847,02/08/2018,2018-08-05
EMSR252_02HAUTECORSEDETAIL_02GRADING_MAP_v1_vector,purple,8.98463494,42.59892837,9.141099801000001,42.53211758,23/10/2017,2017-10-24
EMSR211_01SONEJAWEST_02GRADING_MAP_v1_vector,magenta,-0.548867702,39.82163003,-0.48494133700000003,39.78142267,28/06/2017,2017-07-05
EMSR373_AOI01_GRA_PRODUCT_r1_RTP01_v2_vector,magenta,-0.630882068,41.82455998,-0.508149384,41.75486333,23/07/2019,2019-07-25
EMSR216_02TORREPEDRO_02GRADING_MAP_v1_vector,magenta,-2.314223218,38.47452827,-2.256145364,38.42554085,27/07/2017,2017-08-04
EMSR207_07ALVAIAZERE_02GRADING_MAP_v2_vector,coral,-8.499256363999999,39.90466208,-8.307520732,39.78404612,17/06/2017,2017-07-04
EMSR368_AOI01_GRA_PRODUCT_r1_RTP01_v3_vector,cyan,-5.078459714,40.33788742,-4.823074137,40.20812274,28/06/2019,2019-07-01
EMSR254_03PERENADELARIBERA_02GRADING_MAP_v2_vector,cyan,-6.542225565,41.27445616,-6.472702708,41.23156571,15/10/2017,2017-10-22
EMSR213_10MESSINA_02GRADING_MAP_v1_vector,lime,15.41644306,38.30765193,15.60226748,38.149545,11/07/2017,2017-07-14
EMSR237_03ELMADRONO_02GRADING_MAP_v1_vector,pink,-6.55216293,37.7270859,-6.412924492,37.63666016,09/09/2017,2017-09-19
EMSR210_05ELCAMPILLOOVERVIEW_02GRADING_MAP_v1_vector,pink,-6.720018396,37.78685825,-6.592253437,37.68509354,03/07/2017,2017-07-11
EMSR219_01SEGURADELASIERRA_02GRADING_MAP_v1_vector,magenta,-2.691026934,38.30022046,-2.592101779,38.22393646,03/08/2017,2017-08-17
EMSR302_07ELPERALEJO_02GRADING_MAP_v1_vector,pink,-6.530284692,37.73347079,-6.456643427,37.68573673,02/08/2018,2018-08-05
EMSR216_05ELCALAR_02GRADING_MAP_v2_vector,magenta,-2.43054933,38.45536492,-2.372358909,38.40628603,27/07/2017,2017-08-04
EMSR281_01KIRTOMY_02GRADING_MAP_v1_vector,cyan,-4.166212024,58.57029601,-4.075846823,58.53160741,15/04/2018,2018-04-26
EMSR213_08BLUFI_02GRADING_MAP_v2_vector,lime,13.79474193,37.88457308,14.15737316,37.64943059,11/07/2017,2017-07-27
EMSR254_01PORTELADEAGUIAR_02GRADING_MAP_v2_vector,cyan,-6.937,42.551,-6.845,42.495,15/10/2017,2017-10-22
EMSR213_09MISTRETTA_02GRADING_MAP_v2_vector,lime,14.15456502,38.02322271,14.47612858,37.74835898,11/07/2017,2017-08-06
EMSR248_01PINODELORO_02GRADING_MAP_v1_vector,cyan,-6.196452795,41.65902951,-6.00901917,41.54401595,29/07/2017,2017-08-08
